Resized_010_back_current_1.jpg Resized_010_back_current_2.jpg Resized_010_back_current_3.jpg Resized_010_back_current_4.jpg Resized_010_back_old_1.jpg Resized_010_back_youngMandela_1.jpg Resized_010_front_current_1.jpg Resized_010_front_current_2.jpg Resized_010_front_current_3.jpg Resized_010_front_current_4.jpg Resized_010_front_old_1.jpg 
138.07722663879395 137.8263874053955 161.50445175170898 137.5307331085205 191.6389217376709 139.34091758728027 124.3160457611084 124.08248710632324 156.0458755493164 124.40225028991699 176.93964195251465 
149.43625450134277 149.18726348876953 157.13380241394043 148.84804153442383 182.89970779418945 112.18638038635254 144.09456634521484 143.8574619293213 151.50225257873535 144.3531951904297 174.9724464416504 
179.0382537841797 178.8011302947998 193.58786392211914 178.5519962310791 206.52651023864746 155.90339469909668 173.48096656799316 173.24692726135254 189.75065803527832 173.70468521118164 203.63780403137207 
204 204 193 204 246 166 175 175 201 175 232 
219 219 216 219 255 184 207 208 249 214 244 
212 212 171 212 236 183 153 177 120 175 234 
Resized_020_back_current_1.jpg Resized_020_back_current_2.jpg Resized_020_back_current_3.jpg Resized_020_back_current_4.jpg Resized_020_back_old_1.jpg Resized_020_back_youngMandela_1.jpg Resized_020_front_current_1.jpg Resized_020_front_current_2.jpg Resized_020_front_current_3.jpg Resized_020_front_current_4.jpg Resized_020_front_old_1.jpg 
189.476224899292 189.24577522277832 206.12685203552246 189.08410263061523 210.60146522521973 170.69391441345215 187.75749015808105 187.51922798156738 202.1288776397705 187.30912971496582 218.75577926635742 
119.6487922668457 119.40666389465332 141.65131759643555 119.19153594970703 163.3575839996338 94.49931335449219 114.46715927124023 114.22268676757812 134.5962677001953 113.88278198242188 172.2722682952881 
154.50232696533203 154.2546730041504 178.99509620666504 154.0514430999756 193.69211769104004 138.45627212524414 150.39283752441406 150.13465881347656 172.2175998687744 149.86102485656738 200.16718101501465 
211 210 220 218 254 205 212 212 239 217 254 
178 178 212 210 249 203 180 178 216 178 248 
201 201 235 200 217 178 97 97 122 169 224 
Resized_050_back_current_1.jpg Resized_050_back_current_2.jpg Resized_050_back_current_3.jpg Resized_050_back_current_4.jpg Resized_050_back_old_1.jpg Resized_050_back_youngMandela_1.jpg Resized_050_front_current_1.jpg Resized_050_front_current_2.jpg Resized_050_front_current_3.jpg Resized_050_front_current_4.jpg Resized_050_front_old_1.jpg 
202.3105754852295 202.07912635803223 209.18538093566895 201.88018989562988 220.62767219543457 182.8029384613037 197.33961486816406 197.11486625671387 217.500581741333 196.97974395751953 224.0973129272461 
133.97915649414062 133.72750663757324 144.18564796447754 133.37850952148438 182.8833827972412 123.82197570800781 135.20921516418457 134.94171142578125 160.87563133239746 134.8081932067871 195.67357063293457 
139.26690483093262 139.02258682250977 148.86130714416504 138.65849113464355 192.4891815185547 136.12715911865234 138.65778160095215 138.41370010375977 163.09269332885742 138.2308235168457 195.82959175109863 
223 223 245 222 254 208 222 222 250 222 253 
215 214 163 214 250 206 186 205 239 206 249 
213 213 120 213 239 191 116 194 136 194 243 
Resized_100_back_current_1.jpg Resized_100_back_current_2.jpg Resized_100_back_current_3.jpg Resized_100_back_current_4.jpg Resized_100_back_old_1.jpg Resized_100_back_youngMandela_1.jpg Resized_100_front_current_1.jpg Resized_100_front_current_2.jpg Resized_100_front_current_3.jpg Resized_100_front_current_4.jpg Resized_100_front_old_1.jpg 
144.00414657592773 151.59134674072266 143.75823402404785 143.47119522094727 190.42283058166504 147.0424461364746 143.64085960388184 151.19185829162598 143.4029884338379 143.18371391296387 191.34917068481445 
180.00856399536133 197.155912399292 179.76150512695312 179.56578254699707 191.96840476989746 159.27986335754395 181.49860191345215 198.0821933746338 181.23772621154785 181.07980918884277 200.56039428710938 
157.8181209564209 178.3950138092041 157.57956314086914 157.40792274475098 186.09821319580078 154.85146141052246 158.3534450531006 177.50565719604492 158.08559799194336 157.90301132202148 186.29485702514648 
207 191 207 206 244 191 200 210 199 199 240 
193 214 193 206 255 195 208 224 208 208 250 
212 191 212 211 246 196 218 246 217 218 250 
Resized_200_back_current_1.jpg Resized_200_back_current_2.jpg Resized_200_back_current_3.jpg Resized_200_back_current_4.jpg Resized_200_back_old_1.jpg Resized_200_back_youngMandela_1.jpg Resized_200_front_current_1.jpg Resized_200_front_current_2.jpg Resized_200_front_current_3.jpg Resized_200_front_current_4.jpg Resized_200_front_old_1.jpg 
210.36250686645508 229.83718872070312 210.11804962158203 210.05472946166992 222.6651840209961 187.961669921875 210.20854568481445 230.37096977233887 209.96813011169434 209.8394947052002 223.37945938110352 
129.7227554321289 136.92180633544922 129.47080039978027 129.29279327392578 153.69056510925293 108.6889591217041 124.91777610778809 130.1533031463623 124.66388320922852 124.45478820800781 168.4126033782959 
153.71006393432617 176.4772434234619 153.4648551940918 153.2909278869629 194.1709384918213 142.2985496520996 153.00948905944824 173.53045272827148 152.76916694641113 152.55479621887207 197.5662727355957 
216 248 216 216 255 204 226 251 226 226 253 
183 206 183 183 252 179 212 219 211 212 248 
210 234 210 210 217 183 163 174 177 178 226
